part_category,current_stock,previous_month_demand,average_monthly_demand,vehicle_sales,seasonal_index,lead_time_days,demand
1,420,95,100,380,1.05,12,108
2,260,70,75,240,0.95,18,72
3,180,55,60,190,1.10,25,68
4,95,38,42,130,1.20,30,55
5,520,130,125,470,0.90,10,118
1,390,88,92,350,1.00,14,96
2,310,82,80,275,1.08,16,87
3,145,48,52,160,0.92,22,49
4,120,45,47,145,1.15,28,58
5,460,115,110,430,1.02,11,116
1,350,76,82,320,1.12,15,92
2,225,63,68,220,0.98,20,67
3,200,59,58,210,1.06,24,65
4,85,30,35,115,0.88,35,32
5,580,145,140,510,1.18,9,163
1,440,102,98,400,0.96,13,100
2,275,74,78,250,1.03,17,82
3,165,50,54,175,1.14,21,63
4,110,41,40,140,1.07,27,46
5,490,120,118,450,0.94,12,114
1,300,68,72,290,1.09,19,79
2,340,90,85,310,1.01,15,91
3,135,44,48,150,0.97,26,47
4,75,28,32,105,1.16,32,40
5,610,150,148,540,1.04,8,155
1,410,98,94,370,1.13,14,108
2,240,66,70,230,0.91,21,64
3,190,57,62,205,1.02,23,62
4,100,36,39,125,1.10,29,48
5,530,128,132,485,0.99,10,131
1,365,84,86,330,1.06,16,91
2,295,78,76,265,1.12,18,88
3,155,46,50,170,0.89,24,45
4,90,34,36,118,1.18,34,45
5,475,112,115,440,0.93,11,108
1,430,105,102,390,1.03,13,106
2,250,69,73,235,0.97,19,71
3,175,53,56,185,1.08,22,62
4,115,42,44,138,1.14,26,52
5,550,138,135,500,1.00,9,138
1,320,72,76,305,0.94,17,71
2,330,86,83,295,1.07,16,89
3,140,47,49,155,1.11,25,57
4,80,29,33,108,0.90,31,31
5,595,148,145,525,1.16,8,166
1,405,96,90,365,1.02,14,94
2,270,75,77,245,1.05,18,81
3,185,56,59,198,0.96,23,57
4,105,39,41,132,1.19,28,53
5,505,123,120,460,0.98,10,121
