part_category,current_stock,previous_month_demand,average_monthly_demand,vehicle_sales,seasonal_index,lead_time_days,next_month_demand
0,407,354,281,385,0.73,40,269
3,373,52,248,858,1.25,19,202
3,287,177,328,131,1.46,43,270
2,445,199,337,501,1.36,26,306
2,81,325,258,820,0.92,18,310
4,462,77,154,957,0.74,2,166
0,428,190,225,326,1.45,28,183
3,261,86,171,685,1.45,29,197
1,372,321,235,270,1.13,43,254
0,269,263,291,204,1.21,32,246
2,149,213,154,417,1.07,3,202
4,403,175,196,896,1.04,26,250
3,138,86,54,720,0.8,33,150
3,170,371,268,540,0.78,23,308
3,269,269,191,354,0.89,20,215
3,421,148,182,227,1.37,36,191
2,204,183,205,343,0.82,28,202
0,257,298,106,237,0.88,31,197
4,39,296,225,268,1.14,21,274
2,75,200,271,718,0.87,13,249
2,46,142,148,219,0.83,24,143
1,54,274,80,142,1.15,43,174
0,436,273,159,588,0.99,27,209
4,424,251,101,357,1.2,32,205
3,414,56,155,509,1.43,7,160
3,46,204,234,225,0.82,44,240
2,57,257,75,288,1.43,12,193
4,154,381,271,496,1.42,43,342
2,291,224,109,721,1.36,21,231
2,180,156,317,472,1.21,41,268
2,254,235,267,587,1.2,40,277
1,103,95,124,569,1.21,34,186
0,370,63,214,341,1.25,41,165
2,170,280,74,351,0.71,28,179
4,51,394,70,483,1.47,38,257
0,376,343,336,128,1.17,9,290
4,453,245,288,716,1.33,5,306
4,27,44,87,652,1.0,25,149
1,229,395,127,375,0.71,36,258
3,417,196,101,436,1.11,34,154
0,358,137,162,395,1.11,24,164
3,431,360,130,686,1.05,24,261
3,219,306,141,783,0.97,28,253
1,198,307,204,197,0.9,39,264
0,360,132,98,471,1.12,38,147
4,93,396,313,112,1.0,6,307
2,134,197,265,507,1.48,27,264
4,308,226,275,323,0.84,18,221
3,340,307,92,402,0.96,36,200
3,77,274,259,510,0.94,23,291
3,263,93,299,391,1.13,44,219
0,195,141,94,454,1.1,20,139
1,260,163,272,788,1.21,31,278
2,480,380,150,829,1.46,6,303
2,56,294,284,105,0.93,42,273
0,497,165,188,440,1.25,8,176
2,235,301,288,862,0.72,18,309
0,390,303,85,577,0.91,38,195
3,223,175,160,284,1.07,43,179
3,169,179,124,634,0.72,22,180
4,389,360,116,230,1.19,22,220
3,350,237,135,119,1.24,4,164
1,89,85,158,669,1.3,44,174
4,358,296,79,563,1.11,2,213
2,381,248,259,780,1.18,3,279
1,206,218,210,410,1.02,22,241
4,464,298,297,868,0.73,2,301
1,327,365,258,479,0.78,9,286
0,180,152,86,764,1.22,28,184
2,25,185,61,190,1.5,32,155
3,343,100,171,187,0.71,14,148
0,120,269,189,804,1.15,36,278
2,383,179,114,850,1.3,28,214
0,272,156,282,948,1.36,11,267
3,244,287,220,392,1.14,32,256
2,98,181,271,120,1.2,27,207
1,361,201,73,981,1.26,36,200
1,99,192,292,641,1.39,8,265
2,220,125,103,322,0.8,11,120
3,421,76,178,787,1.44,15,202
4,461,336,176,913,0.72,16,296
2,494,63,294,356,1.37,40,192
0,479,150,125,792,0.76,33,179
4,286,276,114,808,0.86,25,228
3,116,78,145,551,0.7,25,158
3,422,272,151,669,1.06,40,234
0,404,301,96,342,0.97,21,193
1,495,275,94,936,0.83,11,209
3,332,142,111,984,1.06,7,212
4,87,37,184,982,1.02,16,205
2,261,358,146,763,1.31,30,276
4,235,150,161,138,1.41,22,161
4,424,327,262,429,1.22,20,292
1,208,103,114,500,0.8,22,155
4,177,90,322,963,0.94,43,286
1,58,317,273,592,1.43,44,345
1,421,377,94,582,0.77,8,242
3,382,348,137,232,1.03,6,216
3,39,307,96,814,1.45,12,257
0,228,121,124,402,1.46,38,169
4,250,367,153,182,1.03,21,232
0,245,277,80,988,1.23,39,255
4,461,93,44,271,1.07,29,109
0,92,77,176,114,1.3,25,146
3,167,352,257,170,0.73,14,276
3,106,131,133,507,0.82,16,193
3,137,313,306,192,1.19,8,288
3,455,81,154,858,0.89,24,180
2,471,133,319,561,1.23,14,261
3,41,134,113,391,0.98,14,174
1,323,134,207,102,1.41,3,161
3,131,279,276,531,1.36,36,302
2,112,368,58,236,1.09,42,217
2,160,366,328,980,1.32,23,384
2,113,304,153,361,0.92,25,214
2,255,104,194,527,1.1,41,175
0,497,385,234,116,0.86,23,236
0,301,230,239,217,1.39,28,213
1,367,232,47,286,1.36,20,144
0,256,289,308,146,1.42,24,276
2,26,314,233,753,1.4,24,310
3,60,382,349,950,1.47,32,408
3,149,245,186,986,0.88,27,260
2,136,255,230,339,1.45,23,249
4,423,305,176,809,1.16,5,278
2,424,124,315,553,1.04,40,250
0,429,143,298,141,1.15,40,195
3,326,261,321,181,0.97,9,262
2,286,53,196,593,0.93,14,195
3,331,148,285,481,0.89,43,238
2,215,295,151,107,0.77,15,187
2,341,391,182,937,1.1,36,315
0,401,222,275,757,1.41,35,279
2,386,177,65,552,1.2,39,165
3,314,192,260,988,1.12,2,278
1,47,283,44,974,1.04,22,212
3,367,231,220,976,1.07,26,267
0,195,38,187,332,0.87,37,138
1,376,229,185,892,1.36,11,250
2,278,178,193,554,0.86,15,200
4,442,289,192,753,1.27,9,269
1,182,353,166,873,1.31,34,300
1,467,386,179,246,1.16,44,265
2,425,255,216,503,1.39,8,243
4,178,164,276,216,0.93,12,226
4,251,194,211,351,1.41,15,220
0,275,95,239,472,1.28,40,206
1,388,376,299,869,1.34,21,354
4,350,343,346,876,1.23,14,376
0,428,345,73,450,1.38,15,216
4,197,151,261,396,1.49,27,249
1,262,149,109,577,1.04,18,166
4,226,346,101,920,1.35,8,281
1,456,231,285,978,1.3,37,315
2,166,290,61,304,1.06,20,176
3,301,211,302,267,1.44,13,248
0,77,193,278,736,1.02,33,272
2,428,263,348,371,1.15,34,296
2,204,330,247,279,0.78,8,248
3,183,153,310,127,0.88,5,215
4,299,329,76,462,1.37,3,221
3,259,120,315,452,1.02,34,215
2,427,179,89,606,1.02,28,169
2,275,367,137,280,0.9,36,234
2,268,383,79,742,1.09,28,256
4,70,371,164,712,1.34,19,322
1,30,146,272,516,1.42,27,233
0,211,342,123,263,0.76,33,201
1,499,376,294,556,1.16,19,281
0,460,391,227,707,1.07,41,299
0,321,37,234,435,1.19,40,166
0,322,305,331,337,1.06,36,284
3,207,398,173,555,1.02,44,309
3,105,312,146,419,1.08,18,252
3,24,116,348,460,1.17,6,260
2,182,312,212,413,1.1,22,257
3,171,68,230,373,1.08,34,200
0,111,207,131,745,1.35,35,224
4,144,261,106,514,1.3,18,213
2,31,198,92,519,0.97,14,162
4,311,288,109,687,1.34,21,237
0,465,118,100,425,1.38,36,151
2,351,254,271,190,0.82,4,255
3,235,268,57,867,1.17,16,223
2,221,264,235,150,0.93,11,215
2,167,137,334,614,1.29,36,261
0,88,142,277,339,0.89,22,220
1,307,125,164,292,1.24,5,136
1,291,200,58,137,0.9,13,130
1,23,246,298,910,1.11,3,320
3,219,164,40,486,1.46,22,164
3,153,181,251,408,1.01,44,238
3,101,135,247,767,1.4,26,265
1,357,110,99,135,1.49,39,130
4,272,273,269,608,1.4,33,292
0,324,331,94,545,0.83,39,239
1,362,137,109,598,1.36,15,163
0,491,348,291,211,0.73,42,276
1,405,241,343,957,1.01,12,286
4,317,92,122,314,1.4,20,166
1,441,165,325,710,1.25,31,289
4,249,32,323,772,1.13,14,241
2,492,44,278,409,1.01,13,183
3,385,154,83,217,1.35,7,144
2,332,198,132,367,1.27,2,171
1,453,325,250,826,1.07,23,306
